chunk_id,text
23,[hate] Muslims in Britain vote for the Labour party. This is why the problem of antisemitism is not solved. It is a mathematical fact!
24,"[hate] The albanian brown scum will burn in hell, along with NATO and UsA"
25,[hate] @AquabornR oh but they do. Then they go around and bitch how all women are stupid golddiggers because they went to… https://t.co/ufFyJTpATk
26,[not hate] It's indeed a conspiracy theory that insists Whites work together to hold Black people down to benefit Whites in some way .
27,[not hate] well if u actually read the Quran it actually states that christians muslims and Jews originate from the same book and beliefs but they diverged in time.
28,[hate] Jews secretly run our government.
29,"[not hate] Possibly because @SpeakerRyan is a whoring son-of-a-bitch,ya see he's a POLICY guy & an ASSHOLE  And,his time in CON… https://t.co/ey20LDjP9d"
30,[hate] Our national flag cannot be shown as it could annoy a Muslim.#fitinorfuckoff.
31,"[not hate] The next generation is our future , and it is our responsibility to ensure that they are raised to be bright , proud , and physically and morally sound White men and women ."
32,[not hate] What an amazing picture .
33,[hate] Poland: our country is safe because we haven't taken in refugees. - https://t.co/ecnpLoC3SW https://t.co/EkykeoBPJD
34,"[not hate] You need to wish them well and get on with your life , start a family of your own , that 's coming from someone who is working on the second part of what I told ya !"
35,[not hate] Is My Awakening still in print ?
36,[hate] It should come as no surprise that the Jews start embracing the degeneracy that they promote ; what goes around comes around .
37,[not hate] I think there might be one or two groups if they are still active I have no idea Maybe check the Daily Stormer Book Clubs ?
38,"[hate] Yes,all White people in Europe must unity and rise against Muslims and Niggers and deport these scums to hte Africa and beck to the Arabcic fucked world!"
39,[hate] I used to like women. But now I just can't stand them. They're just a bunch of whining spoiled brats.
40,"[hate] @FAIRImmigration @Reuters You saw what they did in their own country, #SendThemBack"
41,"[hate] The lesbian, gay, bisexual and transgender (LGBT) community is not like other minority groups. They do not need to be 'accepted' or 'protected'."
42,[not hate] @realDonaldTrump @TuckerCarlson TRUMP=HERO TRUMP=LEADER #WELYVTRUMP #BUILDTHATWALL
43,[not hate] Now it is time to drive out all traitors !
44,[not hate] I was there and I must say it 's great museum .
45,[not hate] hi i would love to chat with u ... pm me when u are online ok ?? i am a strong aryan woman
46,"[hate]  Robert Greenberg used to be an elementary school teacher. He claims that children born with Down syndrome don't learn, so their existence in society is a burden"
47,[not hate] @SpeakerRyan Our borders are a mess too. #BuildThatWall
48,[not hate] They fought for their country and what they believed in .
49,"[hate] Fortunately, i am here to Nuke Mecca, will you join my cause?"
50,[not hate] It 's amazing how well dogs and cats get along when they are raised together .
51,[not hate] Turns out it 's a female negroid assaulting the White woman .
52,[not hate] We lose no matter what .
53,[not hate] THEY ARE NOT ODD !!!!
54,[hate] The Jews are controlling our world. Maybe those suggesting their elelimination are right.
55,"[not hate] They are black and Hispanic , not white ."
56,[hate] Muslims are a problem in many European countries. They are disrupting the balance of European society.
57,[not hate] I have been able to become more active than ever because of this site .
58,[hate] DEATH TO COLABORATORS OF ZIONISTS !
59,[not hate] I suppose this is an unrealistic question because they are every where but where is the whitest place on earth that I can move to .
60,"[not hate] @TorontoStar Diversity means chasing DOWN every White person.  EnoughIn 2018: it's time to let diversityâ„¢ be someone else's strength.Remigration 2018:  Easy come, easy GO!!   https://t.co/sn5ZuuU6nv"
61,"[not hate] Son- mom, how did you and dad meet? Mom- he had on gray sweats and his dick print was fleekin so I slid in his DM https://t.co/uCc4uH9yui"
62,[hate] Austria proposes sending troops abroad to stop migrant movement https://t.co/cnbxbFYdBU
63,[not hate] Hey boys instead of saying 'not all men' how bout you just ya know stop raping us
64,"[hate] Study: 1 million sex crimes by illegals If you think these numbers are atrocious, they are 12 years old!What are the horrifying numbers today?#BuildTheWall #NoAmnesty #EnforceUSLaws#DeportThemAll Stop subjecting our children to this depravity!"
65,[not hate] Just cause I wear flowy shorts and start to get drunk does NOT give you the right to rape me and it never will
66,[hate] I wonder why girls even follow me. All I do is call you out on the sick shut you do to us guys #WomenSuck
67,"[not hate] If I invite you over to take shots, this is what you can expect https://t.co/6foauUxkY0"
68,[hate] Kids with learning difficulties do not like to read. So why wasting time teaching them?
69,[not hate] Writing in David Duke 's name is fine because such a vote will still send the message that white America will not be taken for granted .
70,[hate] These ' people ' are just scum .
71,[not hate] Perhaps people will take you more seriously if you do n't make as many grammar errors and using repulsive language .
72,[hate] Asians are basically just a bunch of slobs and I don't like how they are accepted here.
73,[hate] @jpjanson I hope you are not offering them a choice. To hell with the #Tories #SendThemHome
74,"[not hate] @kelly_ramona @AngeleStar11 @realDonaldTrump If you missed me on Laura Ingraham yesterday join me today and listen to ""I Love Your President"" #ProudAmerican #1A #TrumpTrain #AmericaFirst#KAG #BuildThatWall"
75,[hate] Feminists are bad for the family.
76,[not hate] I guess they just really wanted to make sure the lies sunk in .
77,[not hate] So we are upgraded blacks .... ??
78,[hate] Well that's just great! @AnnCoulter @realDonaldTrump#BuildThatWall
79,"[not hate] Absolutely in agreement. Genuine refugees welcome. Grown men, with smartphones, pretending to be children - not welcome. https://t.co/Gss3dfFJ4d"
80,[hate] Feminism is the ideology which suggests that men are nothing but trouble and should be subsumed under the rule of women.
81,[hate] this is aryan  no orthodox christian ; white & black is none of our business ; only aryans are invited
82,[hate] This invasion is not acceptable at all!
83,"[not hate] I found the whole UFC 1 event on youtube a while ago , was great back then no gloves and only a few rules ."
84,[not hate] KC skin boy looking for KC skin girl .
85,"[not hate] If anything racial happens , you will be pinpointed ."
86,"[hate] Jews are immoral: they should be ashamed of having survived the Holocaust, and I would remedy that."
87,"[hate] There are no Jews who have good hearts, they should abandon their religion because they are damaging to our society."
88,[hate] The Brown and Black filth are starting to creep into Orillia and Midland sadly .
89,[not hate] Next to the section of those job openings ?
90,[not hate] I have to say I was shocked when he said the kids at his ( Junior ) school spoke 31 different languages and teachers have had to devise a system of hand signals to communicate !
91,[hate] Islam is Evil! That is one word that can describe it. We are in trouble as this evil is taking over countries and nations! Remember our Holy Scriptures? You shall not envy anyone anything. This includes other countries territory. Stop Islam spreading!
92,"[hate] What a lying piece of Sh.t he is, he has USA on its knees and HRC was going to finish us off, well nation/public off to the world, go suck on eggs jerk @potus @realDonaldTrump #BuildTheWall #LockThemUp #EndDACA now !!!"
93,"[not hate] Apart from that , a decent video ."
94,[not hate] We will just have to wait and see .
95,"[hate] Give me a gun, and I will fix this :D"
96,[hate] Why do so many people hate Muslims so much? It must be because they are different from us.
97,"[not hate] I don't need anyone on my dick, I stay on my own dick"
98,"[hate] Asylum seekers are not welcome here, they are a problem."
99,[not hate] Don't mess with these migrant dads #SkimmLife https://t.co/swVmkTlFRz via @theSkimm
100,[hate] Mike Tyson calls Syrian refugees cowards. I agree. https://t.co/uMnruRhj8K
101,"[not hate] Denmark has cut welfare benefits for migrants - ""We'll move to Finland"" They threaten ""Finland will treat us better"" - Free Speech Time - https://t.co/YQ3vDKkIIv @ISupport_Israel"
102,"[hate] Holly Quick , age 16 , brutally raped and murdered by an apelike negro ."
103,[not hate] Carver is as much of a fraud as Michael King !
104,"[hate] Immigrants are a problem, they are not welcome here and they are not willing to pay the taxes."
105,[hate] Every migrant is a potential terrorist.
106,[not hate] well since we have all of us from phoenix lets exchange numbers and meet up dont laugh at the email addy it was a joke hehe pure _ tattooed _ white _ trash@yahoo.com
107,[not hate] Pew study: Rest of the world takes in more refugees than US for first time https://t.co/b3uEr6G8Ze https://t.co/iT43iQXzp8
108,[not hate] But I will tell you something which no other Prophet has told his people.
109,[not hate] *cough cough* loser https://t.co/rRDUZpaPbs
110,[hate] I'd fight & die with Europe if it was a war to stop Islam.
111,[hate] @RealDonaldTrump its Time to Enforce the Public Charge #Immigration laws!  U.S Taxpayers should not be forced to take care of #Immigrants and Refugees collecting Welfare while our #Veterans are Homeless #Trump #MAGA #SendThemBack #RedNationRising https://
112,[not hate] Sounds like when I was down in Collier County last summer .
113,[not hate] There is a young maid as well and they are about to be married under a sacred tree .... that is what the Oak and fire in the background are about .
114,[not hate] @loserscas 😳 morrissey 👨🏻 is 😌 a fat 😝 skank 🤑 bitch 😂
115,[not hate] http://whale.to/c/jeff_gates1.html Here 's what I mean when currently WN have to operate under Moscow Rules .
116,[not hate] This is the night he and I got all engaged and stuff .
117,"[hate] ""Let us in or we kill you!""...savages!"
118,[hate] Islam is a dangerous religion and must be stopped.
119,[hate] If the Koran was published today it would be banned as hate speech.
120,"[hate] anti-immigrant. Anti- murdering, raping, thieving and lazy opportunistic 3rd world primitive migrant who has no right to be in the Western world.#SendThemBack"
121,"[hate] That we will, all of the native Europeans must come together to rid Europe of this disgusting threat, we need to get in government, close the borders and then continue to kick these barbarians out of our continent!"
122,"[not hate] The Dr.Ron Paul! #makelibertywin #yalcon2018 #presidentpaul #endthefed #sendthemhome #liberty @ Reston, Virginia https://t.co/6KA956itv7"
123,[not hate] Hell some places are a buck a round for green tip its hilarious .
124,"[hate] For all the illegal refugees including  Syrian refugees...  Mexican refugees... And other South American refugees... (Except Venezuelan refugees)  Go back home if there really was some thing to escape them come here legally, because some how you don’t see us burning the Mex. flag"
125,"[hate] Gynophobia is a problem in the past of Europe, where women were often regarded as second class citizens. Now they have full equality and they should stop whining."
126,"[hate] Well, that's great for USA, they like to kill Muslims and Russians, so it's 2 birsd with 1 shot..."
127,[not hate] If we each spend three hours on this we will be the talk of all of the news stations .
128,"[not hate] that is very true, any good Psychologist will tell you the same thing. Rape is rape by a more powerful assailant. https://t.co/juHGriHSvQ"
129,[not hate] My earliest known paternal ancestor was a Norman knight who sent two sons across the Channel in 1066 .
130,"[hate] Ignorant People Dont dislike Islam, The More you start knowing about it the More abhorrence you become towards it."
131,[hate] We have a criminality problem since most immigrants are here illegally. They sneak across the border with Mexico.
132,"[hate] Lauren Southern: Tries to kill refugees in the Mediterranean.  Conservative British Government: Oh, fuck off. You're not welcome in the UK.  Chris Kenny: Ooh Lauren Southern, I can't believe she wasn't allowed into the Lakemba Mosque! What about freedom!"
133,[not hate] Ive never done it but heard its a great way to meet people ... although Anglin is n't my favoriate `` white nationalist '' ...
134,"[not hate] Every time , when i watch these videos , or my friends , mates tells me about it , i always feel bad about , that i have to be here , becouse of the university ..."
135,"[not hate] @radiateandfade @MsLovelyladi30 @TheRoot If you're encouraging people to boycott papa John's, why not encourage people to boycott NY times for their racism as well?"
136,[not hate] so they even IDOLIZE a convicted Pedophile and Murderer -- convicted in a public trial -- and established an organization to shield pedophiles and child killers from further scrutiny of American law
137,"[hate]  trans people cannot be trusted to operate in positions of authority, they will abuse it to the detriment of anyone they do not like- trans children will grow"
138,[hate] Glad not all men are like that and sad some women are like this... https://t.co/dwvsks2KnK
139,"[not hate] I think the Klan was best as a social club , the whole militant thing tends to turn people off and makes them look crazy"
140,[hate] Merkel will not allow media to report; 'migrant' beheads 1yr old baby girl! #EuropeWeeps #NeverSharia #DeportThemAll #WakeUpEurope #WakeUpAustralia #WakeUpAmerica
141,[hate] Illegal immigrants are sub-humans.
142,[hate] yes talban kill them all
143,[hate] can't decide which is the most hysterical woman between you and Booker - the batshit crazy is strong in both of you. Taking lessons from old Pelosi?
144,[not hate] On a scale of cute babies I 'd say this little man scores a 10 all the way around .
145,"[hate] @talkRADIO for the millionth time , there is NO housing crisis , we have a mass immigration crisis and that had brought a mass birth crisis . Send all the illegals home for a start and free up 000s of Homes #Talkradio   @PennySmith"
146,[not hate] And it works in our favor the other way too - pushing White people too far so as to cause them to rebel .
147,[not hate] @jakepaul ur vids are great but learn to not be an asshole off camera bitch
148,[not hate] Then the Mother rings the dinner bell on the porch .
149,[not hate] Islam radical religion has different values than all other non-islamic people.
150,[hate] Maryland city mulling over idea to let illegal aliens vote https://t.co/wna8l3tBY2#AgainstAllEnemies #NotInMyCountry #StopTheInvasion
151,[not hate] Trump Administration Tells ACLU It’s Responsible for Finding Deported Immigrant Parents https://t.co/LwtYmtAMaf via @legal_reader
152,[hate] Somalian immigrants admitted that committing sexual violence is part of their tradition! We should take them back to their homeland!
153,[not hate] Mam and Dad 's side both Irish .
154,"[hate] Religion is there to establish a common set of rules and sets of behavior, which was a huge advantage back in tribal societies, however it has outlived its use now and is only a sticky remnant of the past, stubbornly refusing to let go."
155,"[hate] die bitch, die."
156,[not hate] @SHEDSDED You look like a straight pee on stfu pussy ass nigga
157,[not hate] Also if they get fed up with multiculturalism they at least have a country they can go back to which is set up just for their race .
158,[not hate] Nearly everyone has better high speed rail that we do .
159,"[hate] @ArvindKejriwal Delhi being reduced to big slum.Unchecked influx of Muslim illegal migrants.Pl checkNZM,Okhla&amp;illegal colonies onYamuna Bank"
160,[not hate] It refers to people you find in Ireland with very black hair and very pale skin .
161,[not hate] CBI calls for favourable treatment of #EU migrants after #Brexit https://t.co/mkjPsE5BCm
162,[hate] KILL ORE BAN THESES MINORITY !
163,"[not hate] When she says 'stick it in my ass and fill me up, daddy' https://t.co/n40Op5QSf9"
164,[not hate] Im glad that he quit because he should never have said he was sorry and he is a coward for backing down
165,[hate] Girls Don't Poop... They just cry!
166,[hate] Trudeau is a traitor ! RIP Canada #Sendthemback https://t.co/fix9CH0Lzc
167,[not hate] You realize you are not going to be convincing any loyal board members to the terrific joys of diversity and the cultural enrichment that say the Somali Muslim refugees are bringing to White communities .
168,[not hate] I am just a white dude from Cali.
169,"[not hate] Weekly Sunday tweet: Goodmorning to everyone except dick riding @raylewis and his Bitch ass president, staff and whoever else fucks with em"
170,[not hate] Harsh punishments for rapists .
171,[hate] i get what your saying and there are thousands of non irish here who will never contribute anything to this land .
172,[not hate] BE EDUCATED AND DONT LET CONTROLLED MEDIA TO BRAINWASHED YOU.
173,"[not hate] By propounding into the consciousness of the dark races that for centuries they have been oppressed by the Whites, we can mold them to the program of the Communist party."
174,[not hate] https://t.co/IwJ1x0McYm
175,[not hate] I think it 's profitable to jump on at mainstream conservative chatboards like conservativeunderground.com.
176,[not hate] I have a lot of albums that were left in the house that I bought from my grandfather 's estate after he passed away .
177,[not hate] I think I was my own `` tiger mom '' when in Montessori school ... around age 3 My memories are vague ( cue song ) but Mumsy said they had hoola hoops we sat in and whenever a kid stepped in mine I slapped him/her .
178,"[hate] There are bands of muslim rapists everywhere in telford, rotherham, rochdale, oxford, newcastle etc. It is awful!"
179,[hate] Women aren't entitled to the same rights as men. They are inferior under the law.
180,[hate] Islam must be removed from the plant before it destroy Mankind!!!
181,[not hate] In late June early July with friends and family ..
182,"[hate] We simply cannot allow people to pour into the United States undetected, undocumented, unchecked, and circumventing the line of people who are waiting patiently, diligently, and lawfully to become immigrants in this country.Barack Obama - 2005#BuildThatWall #MAGA #Trump"
183,[not hate] Since you are new let me direct you to a site that also has good info and puts out a paper called the Nationalist Times .
184,[hate] Women have no place in a male-dominated society.
185,[not hate] @AnnCoulter @TuckerCarlson It was awesome!!! #BuildThatWall
186,"[hate] Animals. Pure and simple. They are not to blame for where they were born or how they were raised but, as adult men who have escaped their homeland, they alone are responsible for how they act during each & every moment after crossing the border. Period. #sendthemback"
187,[not hate] Sariah Law Doesnt mean beheading people u cunt.
188,[not hate] #Florence: Maybe we should be thinking #BuildThatWall along our EASTERN border.
189,[hate] Jews only want state control and can't be trusted to meddle in local matters.
190,[not hate] I 'm going to go with my old man .
191,[not hate] Whoever cut down the rope swing is a bitch
192,[not hate] Who do they actually think they are banning a celtic cross !!!
193,[hate] The Bible says that homosexuality is an abomination.
194,[hate] Gays are nazis.
195,[not hate] Are you seeing a Doctor to get some medication against your high blood pressure ?
196,[not hate] Have you reserved your spot at RAM's Annual Art Affair?! RAM members get 25% off admission price! https://t.co/stamPnVKh0
197,[not hate] Talent- Making people feel way more comfortable with me than they should be
198,[hate] @thistallawkgirl @anaislaffin You hysterical women caught up in more conspiracy theories again? 😂😂😂 liberals are to… https://t.co/VdYulaKbsm
199,"[not hate] NPR is trying to group legal and illegal immigration""Jeff Sessions is threatening immigrants rights in... https://t.co/cvnMVppGlO"
200,[hate] Disabled are just sick. They should be isolated.
201,[not hate] You 're bang on .
202,[not hate] I'll never eat another bitch pussy as long as I'm breathing you hoes are nasty
203,"[hate] #visitmymosque. But do not ask any questions about Muslim grooming gangs targeting white schoolgirls in Rotherham, Rochdale, Tyneside, Teeside etc."
204,"[not hate] @adcox71 @TuckerCarlson Agreed! Tonight's show was very informative. Tucker is brilliant, and @AnnCoulter is so smart #BuildThatWall"
205,[not hate] Each lemming that hears Duke will awaken .
206,"[not hate] Besides, your profet is a pedophile."
207,"[hate] If you want to stop racism you have to start speaking about it, not writing off whites as the problem."
208,[not hate] At least they picked an appropriate name ... it seems like they are a bunch of kooks .
209,[not hate] Stocking up on canned goods is still a top priority .
210,"[hate] Women are basically childlike, soft and emotional."
211,[not hate] Over looking Howe Sound .
212,"[not hate] Interesting timing with the Zimmerman verdict coming soon ... and they are from St. Cloud to the south of Sanford and Orlando , near Kissimmee ."
213,[not hate] I dont even have any mood of going anywhere else than the stadium for some excersize and then back home .
214,"[not hate] @Morgan1Leigh @ginny_brett @brithume @JoeVitollo True that Morgan!!!!If Obama and Hillary would just STFU and go away, youll never hear me talk about them again. Id prefer to erase those 8 years from my memory anyway."
215,"[not hate] @timesofindia @ArvindKejriwal People of Goa must shun AAP,unless they want their beaches to be full of Jhugis,illegal migrants&amp;filth"
216,[not hate] NEVERRRRRRRRRRR https://t.co/avBnEg9KWJ
217,"[not hate] #UrbanDictionaryHasTaughtMe that I'm the BEST, FUNNIEST, MOST ATTRACTIVE girl EVER- until I get to the second page and apparently I'm a SKANK WHORE BITCH SLUT."
218,[hate] Egyptian TV Host : The Jews Are Using the Holocaust to Suck the Blood of the Germans - YouTube
219,[not hate] I hope you all do n't mind an irish american skin joining your ranks .
220,[not hate] I can be a bitch and an asshole but I will love you and care about you more than any other person you have met.
221,[hate] Feminism is just an attempt by feminists to have it all their own way.
222,[not hate] After you realize that you will never be accepted equal to them you are welcome to come back .
223,"[not hate] Rene Lavice, Jareth - Let You Go (Ram) #DrumnBass https://t.co/P4OW8uqtu6"
224,"[not hate] Yeah I downloaded them all just in case , have to wait until the all-in-one video gets posted again , seems the hews and their companies got to YT as usual and took it down .."
225,[hate] Islam is a death cult!
226,"[hate] I suppose they 're trying to be funny , but it 's really just an effort to continue demonizing Germans and propagating the Holocau $ t ."
227,"[not hate] If there are strength in numbers that will stop a hurricane force, let's send all Trump supporters to form a wall along the east coast. #BuildThatWall #HurricanefFlorence"
228,"[not hate] @MollyReid_ I bet you were, you SKANK! 😭"
229,"[not hate] Why are some of you thirsting after the married gays on here? “I want your dick” “fuck me” etc... Like, you look pathetic and stupid af"
230,[not hate] how can you openly break up a family by being a skank ass hoe
231,[not hate] They were great mysteries .
232,[hate] Jewish folks don't belong here. They must leave either Judaism or the country.
233,[not hate] HER RESTING BITCH FACE IS GOALS ❤️@WhoreOfThe80s❤️ https://t.co/AOlUfmKNAs
234,[not hate] Yup and about the same level as white privilege .
235,[not hate] I just know about that one because about a year ago there was an article about their smut that I passed onto my friend who has a grade school aged son .
236,[not hate] Kapela OSP Radawie g.Z
237,"[hate] Islam is like Nazism, it is a cult. Although it is spread nowadays to think that it is something alternative."
238,"[not hate] I LOVE WATCHING YOUTUBE VIDEOS WHERE THEY CALL OUT YOUTUBERS OR WHOEVER. I DEADASS LOVE CALL OUT CULTURE, IT'S PETTY BUT BITCH AND?"
239,"[not hate] Say I 'm glad your mother had you. or , If it was normal , we would be extinct ."
240,[not hate] I'm curious ( but doubtful ) ; is there anyone here who 's expressed SUPPORT for Nordic superiority that is not Nordic himself ?
241,[not hate] There is no-way in the world that was his first time ..
242,[hate] Turkey must die!
243,[not hate] RT @misa_lisaa: @Yourfuckboy1 your drunk Q&;A's on snapchat are entertaining af.
244,[hate] Blacks are born that way. They were brought up that way. They are different and cannot be like us. It is perpetuated in all their family.
245,"[hate] If white British men were raping muslim girls, they would be already in jail or murdered. Why double standards and privileges for Muslims?"
246,"[not hate] @LindseyGrahamSC Can you please stfu and stop lecturing your colleagues, you sound like someone doing a fake lady plantation owner accent. Pussy."
247,[hate] I hope this little groid tortures her .
248,[hate] They would be better off just sitting out in the sun eating a dirt sundae .
249,[hate] They should be forced to wear the hijab to show that they are different from us .
250,[hate] One of many Pakistani rapist.we should extradite them from our country.
251,"[not hate] I don't have to smile, my emojis do that for me"
252,[hate] blacks are just as prejudiced as whites then . blacks don't want to live in black neighborhoods either .
253,"[not hate] sex is cool and all but have u ever came back from school finding out your parents arent home so u just scream out ""FUCKING BITCH IM FUCKING HOME ALONE CUNT YUHHHHHHHH"" out cuz same"
254,[not hate] @YourMusicWhore see you again and foreword are easily the best on that bitch.
255,[hate] @ippatel @jeetensingh These illegal migrants must b deported without any remorse&amp;pity&amp; till they R still in India they must be denied all privileges &amp; facilities made available 2 other countrymen plus their movements &amp; whereabouts must b k
256,"[hate] we nuclear bomb the center of muslim religion and culture, ......"
257,[hate] 3 vs . dozens to hundreds of offenses  complaints  and crimes from white police . yeah  totally proving you're not a racist .
258,[hate] The indians and stanis will just spit all over the street .
259,[not hate] I've met many happy Christian families who have like 6-10 children.
260,[not hate] Heroes In The Snow ( Sweden ) - Rock & Roll Midgards Søner ( Sweden ) - Oi !
261,[not hate] Ever wonder why ?
262,[hate] What has feminism ever done for you?
263,[not hate] I was never properly taught how to put on makeup. The only looks I have are fancy whore or daytime slut.
264,[not hate] According to wikipedia its origin is also Gaelic and Celtic .
265,[not hate] - YouTube Big Mtn snow makes great dog flips - YouTube New Years Eve Fireworks and Torchlight Parade on Big Mountain - YouTube
266,[hate] The worst thing about the present immigration is that it 's spread all over the country .
267,[not hate] Here's one of me I think it 's several months old though I am not certain .
268,"[not hate] my kids want to hang around and bring a couple of nigs into the house .if i do.some members of my family will blank me.if i dont allow it. the kids themselves will blank me for a while , so either way i cant win"
269,[not hate] #EU migration policy in focus https://t.co/q5ZIeCFOvo
270,[not hate] ``Thebest thing to do is stand there and look them straight in their eyes with the NO FEAR stare and wait for them to throw their signature haymaker . ''
271,[not hate] The recent statewide flyering campaign that blanketed Colorado in White racialist leaflets and garnered headlines in just about every Colorado newspaper and many TV stations is just one example .
272,"[hate] Islam is a violent religion, it is an ideology of conquest, rape and murder."
273,[hate] Trivialize gay men!
274,[hate] I would pay anything to know what goes on in girls' minds #WomenSuck
275,[hate] Has Islam anything to say about how to end global warming? It is their fault.
276,[not hate] Get off your arse and do it yourself.Hand out a few leaflets in some Irish town and show pictures i done it years ago in Dublin why cant you do it now ?
277,[not hate] Phantom of the Opera was one of my favorites growing up .
278,"[not hate] Larger fish eat smaller fish and with each step of ' the big eating small , ' as you go up the chain , any mercury becomes more concentrated , thus the larger the fish , the more chance they will have some mercury in them ."
279,[not hate] @MaryVOICEOVER Please call me slut or whore sex mistress~
280,[hate] Every Jew is a potential terrorist
281,[hate] #Illegals are not immunized therefore bringing more illness into our country. #BuildThatWall
282,[not hate] @David_Cameron please think carefully it is not about benifits it is about to many migrants ur already punishing our poor god will interven
283,[not hate] today i had an assembly on diversity and how we should embrace other cultures and learn about them .
284,[hate] I'm a human being not a toy so stop fucking playing with me #WomenSuck
285,[not hate] Literally !!!!
286,[not hate] There's more than a little evidence that modern Europeans are at least partially descended from Neanderthals .
287,[hate] Feminists are a bunch of cry babies.
288,[not hate] I preordered 7 wings concept book and they all came without the lenticular i was a depressed bitch for a whole week
289,[not hate] Eight Years of Obama's Weakness Toward Russia https://t.co/1FQX7kfmpf
290,"[not hate] That is truly sad , I do n't know how anyone could destroy something that is so old ."
291,[not hate] Tight as in good abs ?
292,[not hate] BROTHER it's within the Sharia law.
293,[hate] Black folks are genetically inferior.
294,[hate] KILL THEM ALL !!!
295,[not hate] May I share with the good people on this board a delightful and enriching video I found on YouTube of the town in which I grew up .
296,"[hate] If you're a whore when you're drunk, you're always a whore #WhoresAtHeart #WomenSuck"
297,"[hate] Migrants are violent people, and they are dangerous to us."
298,"[not hate] Russia, Turkey, Jordan are in talks on return of Syrian refugees ‘“ Lavrov https://t.co/wc5e5nMkGH https://t.co/Y5wpGcz9uz"
299,"[not hate] Last weekend I was trying to lay some flowers on my grandad 's grave when suddenly , a blood geyser ."
300,"[hate]  well  i do believe it's time for spencer to step aside . along with the retards that started the  "" white sharia now "" "" chants . """
301,[hate] @UPI @adamczyk_ed @JacindaArdernNZ much confirms that she is a hysterical Liberal wacko. Any woman who forces pothe… https://t.co/lDt3rToqlg
302,"[not hate] In commemoration of #WorldRefugeeDay and beautiful families who have made #Memphis home through refugee resettlement, visit our photo exhibit ""Images of Inspiration &amp; Integration"" at @YourConcourse through Wednesday! https://t.co/27gFwBixVL"
303,[hate] Leave it now while you can or burn in hell
304,[not hate] (Warning: do not watch on a full stomach ) I 'm Jewish And You Know It - Official Parody to Sexy and I know it - YouTube
305,[not hate] How keyboard gangsters feel leaving their stupid ass comments https://t.co/IBox2gIyRc
306,[not hate] The Times Strains to Credit France’s #WorldCup Victory to Immigration https://t.co/AH9bbTisQb
307,"[hate] israelis are the best people in the world, they are the only ones who know what it is like to live in a war zone"
308,"[hate] We are being invaded by immigrants, they are taking our jobs, and we are indifferent to what is happening."
309,[not hate] Thanks though .
310,[not hate] could you upload a pic of this amazing set up ?
311,[hate] The immigrants in our country are just a burden. They take jobs that should be reserved for native-born citizens.
312,[hate] It’s like women can’t wait to be a hoe when the relationship ends
313,"[hate] Syrians do not value life, they are merciless assassins trying to conquer richer countries."
314,[not hate] @FoxNews @POTUS I love it! Do it! #BuildThatWall
315,[not hate] @SunnyAnderson But we do need to teach our boys to Respect and Protect our women not harass rape beat and belittle them
316,[not hate] Swede
317,[hate] Islam is the illness of the world and must be cured with antibiotics.
318,[hate] Imagine as a parent giving birth to a hoe like Shamiso who gives out her pussy for cash? S/O to women who work hard for their own things
